contract_id,customer_id,vehicle_model,dealer_region,credit_score,amount_financed,monthly_payment,days_past_due,contract_date
CON-000088,CUST-00562,E-Class Sedan,Southeast,744.0,112818.92,849.77,30,2025-11-27
CON-000089,CUST-00872,E-Class Sedan,Pacific,,107463.4,1410.51,0,2024-09-03
CON-000090,CUST-00388,GLS Luxury SUV,Northeast,614.0,84285.78,664.44,0,2025-09-21
CON-000091,CUST-00002,C-Class Sedan,Pacific,741.0,79229.44,568.99,15,2025-03-13
CON-000092,CUST-00390,GLE SUV,Midwest,824.0,114111.69,1497.98,30,2024-03-13
CON-000093,CUST-00566,S-Class Luxury,Pacific,598.0,114256.36,1365.71,0,2024-03-09
CON-000094,CUST-00106,C-Class Sedan,Midwest,761.0,117393.06,1148.08,0,2024-05-31
CON-000095,CUST-00772,E-Class Sedan,Midwest,726.0,45657.21,1108.13,0,2024-04-03
CON-000096,CUST-00822,GLS Luxury SUV,Northeast,755.0,48647.41,1146.63,0,2025-03-10
CON-000097,CUST-00477,GLS Luxury SUV,Southeast,742.0,92522.62,1068.13,0,2025-03-06
CON-000098,CUST-00703,S-Class Luxury,Northeast,754.0,81021.93,1010.76,0,2025-04-01
CON-000099,CUST-00402,GLS Luxury SUV,Pacific,626.0,36569.6,1149.6,0,2025-03-05
CON-000100,CUST-00730,GLS Luxury SUV,Midwest,835.0,40267.88,1187.07,0,2024-08-16
CON-000101,CUST-00556,C-Class Sedan,Southwest,753.0,110486.83,1399.47,0,2024-01-30
CON-000102,CUST-00162,GLE SUV,Southwest,,108854.02,1424.57,45,2025-09-16
CON-000103,CUST-00202,S-Class Luxury,Midwest,700.0,65368.03,990.92,0,2024-11-30
CON-000104,CUST-00958,C-Class Sedan,Northeast,724.0,110739.3,1037.6,0,2025-10-21
CON-000105,CUST-00996,GLE SUV,Southeast,621.0,85462.38,985.81,0,2025-07-22
CON-000106,CUST-00270,C-Class Sedan,Northeast,608.0,103501.98,1197.5,0,2024-06-25
CON-000107,CUST-00863,EQE Electric,Midwest,593.0,71331.64,1089.36,0,2025-07-21
CON-000108,CUST-00816,C-Class Sedan,Midwest,768.0,44638.86,1656.48,0,2025-02-12
CON-000109,CUST-00271,GLS Luxury SUV,Southeast,762.0,71866.8,1405.27,0,2024-08-24
CON-000110,CUST-00456,GLE SUV,Pacific,615.0,73870.48,1668.25,0,2024-10-04
CON-000111,CUST-00462,S-Class Luxury,Pacific,,81830.26,1421.88,0,2024-03-17
CON-000112,CUST-00727,S-Class Luxury,Southeast,593.0,43974.53,1762.29,0,2025-09-27
CON-000113,CUST-00252,GLE SUV,Pacific,702.0,119269.16,1326.46,30,2025-06-23
CON-000114,CUST-00702,GLS Luxury SUV,Southwest,662.0,55751.63,1752.62,0,2025-10-15
CON-000115,CUST-00296,E-Class Sedan,Pacific,738.0,51876.95,705.62,0,2024-06-06
CON-000116,CUST-00725,C-Class Sedan,Pacific,681.0,79778.25,568.22,0,2024-06-15
CON-000117,CUST-00720,GLS Luxury SUV,Pacific,662.0,80662.7,1252.86,0,2024-07-03
CON-000118,CUST-00749,EQE Electric,Southwest,623.0,72384.76,1778.54,0,2025-01-23
CON-000119,CUST-00338,GLE SUV,Pacific,647.0,100610.83,1042.89,0,2024-01-12
CON-000120,CUST-00879,C-Class Sedan,Southwest,627.0,78915.62,775.66,0,2024-06-17
CON-000121,CUST-00053,S-Class Luxury,Southeast,636.0,86824.11,1178.0,0,2025-03-01
CON-000122,CUST-00792,E-Class Sedan,Northeast,654.0,96518.44,1343.44,0,2025-03-24
CON-000123,CUST-00922,EQE Electric,Southeast,601.0,37127.13,909.73,15,2025-05-08
CON-000124,CUST-00217,S-Class Luxury,Northeast,711.0,83504.76,1429.2,0,2025-03-24
CON-000125,CUST-00764,GLE SUV,Southeast,846.0,110156.53,1767.65,0,2024-04-15
CON-000126,CUST-00188,C-Class Sedan,Northeast,699.0,36478.04,1666.05,0,2025-03-02
CON-000127,CUST-00380,GLE SUV,Northeast,825.0,69440.48,879.06,0,2024-04-07
CON-000128,CUST-00493,C-Class Sedan,Midwest,635.0,113729.33,924.74,0,2025-09-22
CON-000129,CUST-00041,GLS Luxury SUV,Northeast,617.0,65018.12,983.0,15,2024-08-13
CON-000130,CUST-00157,E-Class Sedan,Northeast,824.0,73991.95,1012.92,0,2025-03-22
CON-000131,CUST-00015,GLS Luxury SUV,Midwest,600.0,118431.02,630.42,0,2025-10-25
CON-000132,CUST-00813,GLS Luxury SUV,Pacific,689.0,51942.53,1490.55,0,2025-04-20
CON-000133,CUST-00065,GLE SUV,Pacific,,40546.69,974.94,45,2024-07-21
CON-000134,CUST-00857,E-Class Sedan,Midwest,715.0,108050.92,1643.77,0,2025-11-05
CON-000135,CUST-00839,C-Class Sedan,Southwest,810.0,108819.55,1705.02,0,2024-10-23
CON-000136,CUST-00521,C-Class Sedan,Northeast,587.0,75126.62,531.76,0,2025-09-25
CON-000137,CUST-00344,EQE Electric,Northeast,830.0,78707.61,1785.05,0,2024-01-16
CON-000138,CUST-00129,S-Class Luxury,Midwest,666.0,106043.54,1423.03,0,2025-01-12
CON-000139,CUST-00648,EQE Electric,Midwest,783.0,97777.56,1176.51,0,2024-12-01
CON-000140,CUST-00472,EQE Electric,Southwest,798.0,57537.67,1006.39,0,2025-09-09
CON-000141,CUST-00063,C-Class Sedan,Pacific,820.0,36435.94,1174.07,0,2024-01-20
CON-000142,CUST-00139,GLE SUV,Southeast,837.0,75774.51,922.01,0,2025-03-15
CON-000143,CUST-00499,GLS Luxury SUV,Pacific,688.0,108007.55,1309.49,0,2024-08-31
CON-000144,CUST-00593,GLS Luxury SUV,Northeast,835.0,111145.95,620.87,0,2024-08-31
CON-000145,CUST-00392,GLS Luxury SUV,Midwest,799.0,116279.23,1307.46,0,2025-01-26
CON-000146,CUST-00675,E-Class Sedan,Southwest,662.0,109762.88,857.95,0,2025-12-24
CON-000147,CUST-00419,C-Class Sedan,Pacific,686.0,84303.7,522.93,0,2024-09-18
CON-000148,CUST-00289,GLE SUV,Southwest,648.0,72791.48,1218.52,0,2024-08-07
CON-000149,CUST-00379,E-Class Sedan,Pacific,676.0,100862.24,1251.98,0,2024-01-08
CON-000150,CUST-00773,S-Class Luxury,Northeast,791.0,97884.84,1054.54,0,2025-03-21
CON-000151,CUST-00490,GLE SUV,Southeast,816.0,80742.19,593.97,0,2024-01-14
CON-000152,CUST-00231,EQE Electric,Southwest,587.0,42422.83,1661.35,0,2025-01-21
CON-000153,CUST-00041,GLE SUV,Southwest,768.0,113716.91,1294.86,0,2025-10-03
CON-000154,CUST-00028,GLE SUV,Southeast,660.0,73726.22,650.43,0,2024-01-22
CON-000155,CUST-00135,GLS Luxury SUV,Southwest,687.0,65883.37,1164.21,0,2024-08-12
CON-000156,CUST-00201,GLE SUV,Southwest,646.0,88513.23,1146.43,0,2024-08-22
CON-000157,CUST-00840,EQE Electric,Pacific,753.0,92276.23,578.52,0,2024-12-06
CON-000158,CUST-00780,EQE Electric,Pacific,622.0,52908.47,1288.92,0,2025-12-11
CON-000159,CUST-00930,C-Class Sedan,Southeast,766.0,106139.8,1550.82,0,2024-05-13
CON-000160,CUST-00033,GLE SUV,Northeast,,59644.65,1473.71,15,2024-06-26
CON-000161,CUST-00048,GLS Luxury SUV,Southwest,618.0,50868.13,763.86,45,2025-07-09
CON-000162,CUST-00503,GLE SUV,Northeast,799.0,69543.99,1620.98,0,2025-06-03
CON-000163,CUST-00407,S-Class Luxury,Southeast,583.0,97097.61,945.3,15,2025-06-22
CON-000164,CUST-00574,S-Class Luxury,Southeast,700.0,117063.95,1730.46,0,2025-03-12
CON-000165,CUST-00728,GLS Luxury SUV,Pacific,656.0,103788.91,593.27,30,2024-02-20
CON-000166,CUST-00805,C-Class Sedan,Southwest,758.0,114929.61,1132.07,0,2025-03-18
CON-000167,CUST-00099,C-Class Sedan,Midwest,712.0,46951.49,1276.26,60,2025-08-03
CON-000168,CUST-00684,EQE Electric,Southeast,808.0,41050.03,821.95,0,2024-10-07
CON-000169,CUST-00872,EQE Electric,Southwest,731.0,82404.9,1502.79,0,2024-02-13
CON-000170,CUST-00726,E-Class Sedan,Northeast,743.0,59675.29,1314.96,0,2025-11-17
CON-000171,CUST-00987,GLS Luxury SUV,Pacific,688.0,105384.67,523.54,0,2025-09-22
CON-000172,CUST-00547,GLE SUV,Northeast,705.0,92118.97,1290.88,0,2024-12-30
CON-000173,CUST-00961,GLS Luxury SUV,Southeast,819.0,117511.89,1138.92,15,2024-09-25
CON-000174,CUST-00739,E-Class Sedan,Southeast,725.0,56657.35,754.84,0,2025-11-23
CON-000175,CUST-00613,EQE Electric,Northeast,831.0,76291.65,1794.47,0,2025-07-18
CON-000176,CUST-00943,GLS Luxury SUV,Southeast,762.0,77605.44,1666.31,0,2024-10-19
CON-000177,CUST-00462,GLS Luxury SUV,Southwest,651.0,55330.03,880.26,0,2025-12-03
CON-000178,CUST-00643,EQE Electric,Southeast,798.0,85157.94,1203.39,15,2024-07-12
CON-000179,CUST-00769,E-Class Sedan,Pacific,786.0,72679.31,911.45,15,2025-01-05
CON-000180,CUST-00005,EQE Electric,Southwest,752.0,72971.33,1508.14,0,2025-07-05
CON-000181,CUST-00218,C-Class Sedan,Midwest,720.0,65832.62,1709.43,0,2024-03-18
CON-000182,CUST-00503,GLE SUV,Southeast,793.0,36438.99,966.48,0,2024-07-07
CON-000183,CUST-00767,EQE Electric,Southeast,848.0,79378.1,1547.26,0,2025-08-29
CON-000184,CUST-00398,E-Class Sedan,Pacific,599.0,63496.07,1147.93,0,2025-01-24
CON-000185,CUST-00871,S-Class Luxury,Pacific,645.0,35112.19,1015.55,0,2024-01-25
CON-000186,CUST-00795,C-Class Sedan,Northeast,726.0,61175.22,1719.95,0,2025-09-06
CON-000187,CUST-00393,S-Class Luxury,Northeast,744.0,58683.41,1163.53,0,2024-10-28
CON-000188,CUST-00207,EQE Electric,Northeast,585.0,68443.09,1107.63,0,2025-11-01
CON-000189,CUST-00015,C-Class Sedan,Pacific,593.0,46207.42,1374.16,0,2024-12-23
CON-000190,CUST-00858,GLE SUV,Northeast,711.0,78153.13,839.6,0,2025-12-20
CON-000191,CUST-00554,EQE Electric,Northeast,822.0,93857.43,922.23,0,2024-04-03
CON-000192,CUST-00892,GLE SUV,Midwest,,88565.77,1711.66,60,2025-07-04
CON-000193,CUST-00461,GLS Luxury SUV,Northeast,807.0,103319.17,1382.09,0,2024-12-01
CON-000194,CUST-00691,S-Class Luxury,Southeast,741.0,73420.7,1574.63,0,2024-06-12
CON-000195,CUST-00575,C-Class Sedan,Pacific,842.0,79122.8,852.45,0,2024-12-06
CON-000196,CUST-00864,GLE SUV,Southwest,710.0,"$103,884.16 USD",1206.93,15,2025-07-20
CON-000197,CUST-00743,E-Class Sedan,Midwest,804.0,71354.6,1762.82,0,2024-03-12
CON-000198,CUST-00241,GLE SUV,Pacific,837.0,94635.94,914.32,0,2024-02-11
CON-000199,CUST-00564,E-Class Sedan,Pacific,813.0,71941.2,708.62,0,2025-02-14
CON-000200,CUST-00096,EQE Electric,Southeast,,70507.58,1164.15,0,2025-10-05
CON-000201,CUST-00900,C-Class Sedan,Northeast,,99617.48,1004.17,0,2024-01-21
CON-000202,CUST-00734,GLE SUV,Southeast,721.0,49861.14,707.45,0,2024-01-01
CON-000203,CUST-00485,GLE SUV,Northeast,761.0,63779.81,1655.12,15,2025-11-08
CON-000204,CUST-00407,C-Class Sedan,Northeast,785.0,54054.64,1787.94,0,2025-07-25
CON-000205,CUST-00231,GLE SUV,Pacific,660.0,65524.35,1239.16,0,2024-03-16
CON-000206,CUST-00749,E-Class Sedan,Northeast,787.0,54581.86,1507.08,15,2025-08-25
CON-000207,CUST-00655,GLE SUV,Midwest,618.0,84249.48,1616.75,0,2025-02-01
CON-000208,CUST-00171,S-Class Luxury,Midwest,703.0,102844.52,1411.28,0,2025-12-19
CON-000209,CUST-00541,EQE Electric,Midwest,759.0,101862.11,557.4,0,2024-03-28
CON-000210,CUST-00036,GLS Luxury SUV,Pacific,676.0,65982.58,704.92,15,2025-08-16
CON-000211,CUST-00525,E-Class Sedan,Southeast,770.0,119044.63,592.29,0,2024-01-17
CON-000212,CUST-00160,S-Class Luxury,Southwest,653.0,85477.62,512.84,0,2024-11-24
CON-000213,CUST-00839,EQE Electric,Northeast,628.0,68949.03,897.8,0,2024-07-28
CON-000214,CUST-00699,C-Class Sedan,Southwest,789.0,106020.84,1010.06,15,2025-01-17
CON-000215,CUST-00243,E-Class Sedan,Southeast,695.0,97039.29,813.34,15,2025-07-18
CON-000216,CUST-00086,GLS Luxury SUV,Southeast,602.0,98688.4,583.99,0,2025-10-01
CON-000217,CUST-00796,EQE Electric,Pacific,677.0,51671.84,1188.82,0,2024-05-25
CON-000218,CUST-00578,GLS Luxury SUV,Midwest,769.0,74807.57,855.32,0,2025-03-28
CON-000219,CUST-00682,C-Class Sedan,Midwest,761.0,108255.39,1534.85,0,2025-01-27
CON-000220,CUST-00557,C-Class Sedan,Southeast,727.0,77843.23,510.47,0,2024-11-05
CON-000221,CUST-00574,E-Class Sedan,Pacific,602.0,93093.48,1595.29,0,2025-05-06
CON-000222,CUST-00953,GLE SUV,Pacific,684.0,"$84,974.37 USD",1741.18,0,2025-03-05
CON-000223,CUST-00646,C-Class Sedan,Northeast,742.0,106600.33,1430.98,0,2024-01-01
CON-000224,CUST-00796,EQE Electric,Midwest,646.0,59187.67,1453.74,0,2024-02-10
CON-000225,CUST-00028,GLE SUV,Southeast,625.0,83915.4,1713.63,0,2025-08-07
CON-000226,CUST-00620,S-Class Luxury,Southwest,660.0,45474.95,771.79,0,2025-11-02
CON-000227,CUST-00556,GLS Luxury SUV,Midwest,726.0,93667.92,1792.94,0,2024-07-30
CON-000228,CUST-00340,GLE SUV,Northeast,801.0,97217.27,1505.53,0,2024-11-28
CON-000229,CUST-00798,GLS Luxury SUV,Pacific,594.0,38641.17,1444.54,0,2025-10-12
CON-000230,CUST-00958,GLE SUV,Southeast,700.0,92442.23,969.42,0,2025-03-21
CON-000231,CUST-00331,S-Class Luxury,Midwest,657.0,70248.66,1209.51,45,2024-10-30
CON-000232,CUST-00640,C-Class Sedan,Southwest,820.0,45548.23,1350.09,0,2025-07-08
CON-000233,CUST-00506,S-Class Luxury,Northeast,597.0,70692.14,1306.45,60,2025-11-21
CON-000234,CUST-00348,C-Class Sedan,Northeast,835.0,51509.8,1416.48,0,2025-12-01
CON-000235,CUST-00473,C-Class Sedan,Midwest,606.0,70322.56,607.1,0,2024-06-02
CON-000236,CUST-00231,GLS Luxury SUV,Southwest,581.0,67668.82,962.34,0,2025-09-07
CON-000237,CUST-00190,EQE Electric,Northeast,818.0,97763.29,1064.2,0,2025-06-06
CON-000238,CUST-00225,S-Class Luxury,Southeast,592.0,100808.32,838.82,0,2024-01-25
CON-000239,CUST-00385,GLE SUV,Northeast,763.0,86597.44,724.42,0,2024-01-25
CON-000240,CUST-00377,S-Class Luxury,Southwest,773.0,36928.38,680.61,45,2025-08-18
CON-000241,CUST-00283,GLS Luxury SUV,Pacific,635.0,114136.89,976.3,0,2024-04-15
CON-000242,CUST-00958,C-Class Sedan,Pacific,,93329.83,1141.47,0,2024-04-28
CON-000243,CUST-00633,GLS Luxury SUV,Midwest,607.0,37906.61,581.87,0,2024-04-17
CON-000244,CUST-00628,E-Class Sedan,Southwest,650.0,104600.8,1730.4,0,2024-11-25
CON-000245,CUST-00973,E-Class Sedan,Northeast,789.0,52022.62,1494.82,0,2024-06-28
CON-000246,CUST-00745,GLE SUV,Northeast,763.0,84233.8,1450.11,0,2024-05-10
CON-000247,CUST-00259,GLS Luxury SUV,Pacific,620.0,74663.92,724.72,0,2025-08-25
CON-000248,CUST-00359,GLE SUV,Pacific,839.0,70686.3,1284.94,0,2024-06-16
CON-000249,CUST-00710,GLE SUV,Southeast,663.0,110625.67,1188.64,0,2024-08-10
CON-000250,CUST-00456,E-Class Sedan,Pacific,625.0,72175.71,1777.21,0,2025-04-13
CON-000251,CUST-00411,GLE SUV,Southeast,738.0,41404.25,1471.97,0,2024-10-04
CON-000252,CUST-00649,E-Class Sedan,Northeast,586.0,115464.29,1248.49,30,2024-07-08
CON-000253,CUST-00318,C-Class Sedan,Southeast,715.0,113245.49,1606.06,0,2025-06-14
CON-000254,CUST-00677,GLS Luxury SUV,Southeast,762.0,93176.78,701.62,0,2025-06-09
CON-000255,CUST-00225,GLE SUV,Midwest,776.0,74770.86,519.78,0,2025-09-12
CON-000256,CUST-00819,E-Class Sedan,Pacific,751.0,42893.06,1397.3,0,2024-07-08
CON-000257,CUST-00234,S-Class Luxury,Southeast,657.0,102213.59,627.8,0,2024-08-05
CON-000258,CUST-00684,GLE SUV,Northeast,757.0,41415.62,650.06,0,2024-10-25
CON-000259,CUST-00664,EQE Electric,Southwest,606.0,40831.08,1468.08,0,2024-11-06
CON-000260,CUST-00975,C-Class Sedan,Southeast,699.0,80677.63,851.7,0,2024-08-23
CON-000261,CUST-00827,C-Class Sedan,Pacific,775.0,48610.9,1317.22,0,2024-06-16
CON-000262,CUST-00374,S-Class Luxury,Midwest,597.0,35657.07,1692.63,0,2024-07-11
CON-000263,CUST-00672,E-Class Sedan,Northeast,632.0,70964.64,911.42,0,2024-08-29
CON-000264,CUST-00608,GLE SUV,Midwest,631.0,46663.46,782.29,0,2024-06-10
CON-000265,CUST-00472,E-Class Sedan,Southwest,795.0,48643.81,638.53,0,2024-12-04
CON-000266,CUST-00233,C-Class Sedan,Southeast,651.0,41537.4,669.6,0,2025-03-30
CON-000267,CUST-00692,E-Class Sedan,Southeast,607.0,52432.97,580.89,0,2024-05-14
CON-000268,CUST-00113,C-Class Sedan,Pacific,831.0,95816.16,613.94,15,2024-07-11
CON-000269,CUST-00830,E-Class Sedan,Southeast,,103758.82,1061.61,0,2025-02-05
CON-000270,CUST-00497,S-Class Luxury,Northeast,780.0,73465.36,917.12,90,2025-01-26
CON-000271,CUST-00442,GLS Luxury SUV,Southwest,828.0,78057.07,1418.53,0,2025-08-23
CON-000272,CUST-00564,S-Class Luxury,Midwest,678.0,37775.68,1631.31,0,2024-02-11
CON-000273,CUST-00268,S-Class Luxury,Southwest,719.0,40891.88,1520.21,0,2024-04-02
CON-000274,CUST-00510,GLS Luxury SUV,Southeast,662.0,56893.26,1189.83,0,2024-08-02
CON-000275,CUST-00807,GLS Luxury SUV,Midwest,627.0,81231.37,633.17,0,2024-12-14
CON-000276,CUST-00386,GLE SUV,Pacific,827.0,97861.85,1422.7,0,2025-05-27
CON-000277,CUST-00387,GLE SUV,Southwest,756.0,86425.26,971.68,0,2024-11-30
CON-000278,CUST-00113,S-Class Luxury,Midwest,631.0,68330.87,611.35,0,2025-02-02
CON-000279,CUST-00613,S-Class Luxury,Midwest,658.0,45057.55,1595.21,0,2024-06-12
CON-000280,CUST-00625,C-Class Sedan,Midwest,643.0,101365.72,939.68,0,2024-04-15
CON-000281,CUST-00952,C-Class Sedan,Northeast,587.0,65921.81,783.72,15,2024-08-19
